id;level;parent_id;name;lat;lon;min_lat;max_lat;min_lon;max_lon;geometry_wkt
2661375;3;633066;Barcelona;414.040.606.595.502;218.491.076.578.865;414.016.833.847.274;414.064.379.040.135;218.175.343.150.362;218.806.830.439.667;POLYGON((2.18175343150362 41.4019525481759,2.18211075476224 41.4064379040135,2.18806830439667 41.4061686983659,2.18771057484334 41.4016833847274,2.18175343150362 41.4019525481759))
2661376;3;633066;Barcelona;414.037.913.214.914;219.086.807.179.558;414.014.139.142.826;414.061.686.983.659;218.771.057.484.334;21.940.257.730.618;POLYGON((2.18771057484334 41.4016833847274,2.18806830439667 41.4061686983659,2.1940257730618 41.4058991856742,2.19366763723475 41.4014139142826,2.18771057484334 41.4016833847274))
2661377;3;633066;Barcelona;413.993.060.259.483;21.905.101.796.017;413.969.286.368.401;414.016.833.847.274;218.735.292.623.832;219.366.763.723.475;POLYGON((2.18735292623832 41.3971980650438,2.18771057484334 41.4016833847274,2.19366763723475 41.4014139142826,2.19330958244701 41.3969286368401,2.18735292623832 41.3971980650438))
2661378;3;633067;Barcelona;414.085.459.912.706;218.526.833.265.712;414.061.686.983.659;414.109.232.538.108;218.211.075.476.224;218.842.611.491.931;POLYGON((2.18211075476224 41.4064379040135,2.18246815889913 41.4109232538108,2.18842611491931 41.4106540059584,2.18806830439667 41.4061686983659,2.18211075476224 41.4064379040135))
2661379;3;633067;Barcelona;414.130.313.169.475;218.562.598.045.988;414.106.540.059.584;41.415.408.597.567;218.246.815.889.913;218.878.400.643.224;POLYGON((2.18246815889913 41.4109232538108,2.18282564393526 41.415408597567,2.18878400643224 41.4151393075041,2.18842611491931 41.4106540059584,2.18246815889913 41.4109232538108))
2661380;3;633067;Barcelona;414.127.618.944.313;219.158.409.921.731;414.103.844.510.142;414.151.393.075.041;218.842.611.491.931;219.474.228.791.791;POLYGON((2.18842611491931 41.4106540059584,2.18878400643224 41.4151393075041,2.19474228791791 41.4148697103016,2.19438398994918 41.4103844510142,2.18842611491931 41.4106540059584))
2661381;3;633067;Barcelona;41.408.276.610.986;21.912.260.449.938;414.058.991.856.742;414.106.540.059.584;218.806.830.439.667;219.438.398.994.918;POLYGON((2.18806830439667 41.4061686983659,2.18842611491931 41.4106540059584,2.19438398994918 41.4103844510142,2.1940257730618 41.4058991856742,2.18806830439667 41.4061686983659))
2661382;3;633068;Barcelona;414.080.069.236.394;219.718.367.630.513;414.056.293.659.505;414.103.844.510.142;21.940.257.730.618;220.034.178.389.771;POLYGON((2.1940257730618 41.4058991856742,2.19438398994918 41.4103844510142,2.20034178389771 41.4101145889901,2.19998316066661 41.4056293659505,2.1940257730618 41.4058991856742))
2661383;3;633068;Barcelona;414.124.921.648.054;219.754.213.692.841;414.101.145.889.901;414.148.697.103.016;219.438.398.994.918;220.070.048.830.121;POLYGON((2.19438398994918 41.4103844510142,2.19474228791791 41.4148697103016,2.20070048830121 41.4145998059714,2.20034178389771 41.4101145889901,2.19438398994918 41.4103844510142))
2661384;3;633068;Barcelona;414.122.221.280.817;220.350.009.350.214;414.098.444.198.981;414.145.998.059.714;220.034.178.389.771;220.665.860.749.107;POLYGON((2.20034178389771 41.4101145889901,2.20070048830121 41.4145998059714,2.20665860749107 41.4143295945256,2.20629949667385 41.4098444198981,2.20034178389771 41.4101145889901))
2661385;3;633068;Barcelona;414.077.369.292.428;220.314.122.650.012;414.053.592.392.067;414.101.145.889.901;219.998.316.066.661;220.629.949.667.385;POLYGON((2.19998316066661 41.4056293659505,2.20034178389771 41.4101145889901,2.20629949667385 41.4098444198981,2.20594046712007 41.4053592392067,2.19998316066661 41.4056293659505))
2661386;3;633069;Barcelona;413.990.364.231.432;219.646.699.838.659;413.966.589.017;414.014.139.142.826;219.330.958.244.701;219.962.461.858.684;POLYGON((2.19330958244701 41.3969286368401,2.19366763723475 41.4014139142826,2.19962461858684 41.4011441368535,2.19926615763739 41.3966589017,2.19330958244701 41.3969286368401))
2661387;3;633069;Barcelona;414.035.216.764.184;219.682.529.679.821;414.011.441.368.535;414.058.991.856.742;219.366.763.723.475;219.998.316.066.661;POLYGON((2.19366763723475 41.4014139142826,2.1940257730618 41.4058991856742,2.19998316066661 41.4056293659505,2.19962461858684 41.4011441368535,2.19366763723475 41.4014139142826))
2661388;3;633069;Barcelona;414.032.517.243.432;22.027.824.407.055;414.008.740.524.521;414.056.293.659.505;219.962.461.858.684;220.594.046.712.007;POLYGON((2.19962461858684 41.4011441368535,2.19998316066661 41.4056293659505,2.20594046712007 41.4053592392067,2.20558151880863 41.4008740524521,2.19962461858684 41.4011441368535))
2661389;3;633069;Barcelona;413.987.665.133.837;220.242.373.609.719;413.963.888.596.353;414.011.441.368.535;219.926.615.763.739;220.558.151.880.863;POLYGON((2.19926615763739 41.3966589017,2.19962461858684 41.4011441368535,2.20558151880863 41.4008740524521,2.2052226517185 41.3963888596353,2.19926615763739 41.3966589017))
