id,name,Comarca,Abreviatura comarca,Província,Longitud,Latitud
34090808068,Cervelló,Baix Llobregat,BLL,Barcelona,1.958951323,41.396113524
34090808061,Castellgalí,Bages,BAG,Barcelona,1.838589454,41.675209484
34090808904,Badia del Vallès,Vallès Occidental,VOC,Barcelona,2.113905197,41.509030111
34090808152,Orpí,Anoia,ANO,Barcelona,1.60692923,41.529003828
34090808065,Castellví de la Marca,Alt Penedès,APE,Barcelona,1.61821029,41.326431737
34090808062,Castellnou de Bages,Bages,BAG,Barcelona,1.836910755,41.834129702
34090808041,Canovelles,Vallès Oriental,VOR,Barcelona,2.276970352,41.621756753
34090808153,Òrrius,Maresme,MAR,Barcelona,2.35494046,41.555084531
34090808163,Pineda de Mar,Maresme,MAR,Barcelona,2.689529503,41.627522457
34090808067,Centelles,Osona,OSO,Barcelona,2.219100119,41.797698485
34090808105,La Llagosta,Vallès Oriental,VOR,Barcelona,2.193612736,41.513120028
34090808164,El Pla del Penedès,Alt Penedès,APE,Barcelona,1.710276206,41.418366214
34090808171,Prats de Lluçanès,Osona,OSO,Barcelona,2.028590923,42.008646719
34090808070,Collsuspina,Moianès,MOI,Barcelona,2.175314238,41.825797637
34090808071,Copons,Anoia,ANO,Barcelona,1.518223006,41.63639337
34092525042,La Baronia de Rialb,Noguera,NOG,Lleida,1.19618638,41.932177024
34090808299,Vilada,Berguedà,BER,Barcelona,1.931742789,42.136867266
34090808074,Cubelles,Garraf,GAF,Barcelona,1.672526156,41.208250975
34090808079,L'Estany,Moianès,MOI,Barcelona,2.112454961,41.86860715
34090808080,Fígols,Berguedà,BER,Barcelona,1.836761574,42.181006145
34090808081,Fogars de Montclús,Vallès Oriental,VOR,Barcelona,2.443167054,41.727636577
34090808082,Fogars de la Selva,Selva,SEL,Barcelona,2.671432557,41.735098882
34090808084,Fonollosa,Bages,BAG,Barcelona,1.668695995,41.762934129
34090808085,Font-rubí,Alt Penedès,APE,Barcelona,1.651028415,41.413940013
34090808219,Vilassar de Mar,Maresme,MAR,Barcelona,2.392486809,41.502388587
34090808096,Granollers,Vallès Oriental,VOR,Barcelona,2.286822072,41.60808662
34090808087,Gallifa,Vallès Occidental,VOC,Barcelona,2.115699161,41.693114631
34090808133,Montmaneu,Anoia,ANO,Barcelona,1.414420497,41.62613551
34090808090,Gaià,Bages,BAG,Barcelona,1.925435009,41.916529234
34090808091,Gelida,Alt Penedès,APE,Barcelona,1.863167973,41.440928938
34090808094,La Granada,Alt Penedès,APE,Barcelona,1.719478586,41.376882069
34090808243,Santa Cecília de Voltregà,Osona,OSO,Barcelona,2.222301046,41.992821728
34090808120,Matadepera,Vallès Occidental,VOC,Barcelona,2.026747357,41.596641888
34090808101,L'Hospitalet de Llobregat,Barcelonès,BAR,Barcelona,2.099712098,41.359459666
34090808102,Igualada,Anoia,ANO,Barcelona,1.617581375,41.57871621
34090808103,Jorba,Anoia,ANO,Barcelona,1.548645289,41.601802496
34090808107,Lliçà d'Amunt,Vallès Oriental,VOR,Barcelona,2.239433257,41.608466785
34090808110,Malgrat de Mar,Maresme,MAR,Barcelona,2.740742879,41.645501427
34090808111,Malla,Osona,OSO,Barcelona,2.234413951,41.886588129
34090808113,Manresa,Bages,BAG,Barcelona,1.826928753,41.723055286
34090808118,El Masnou,Maresme,MAR,Barcelona,2.319018119,41.479161716
34090808121,Mataró,Maresme,MAR,Barcelona,2.444896864,41.539809903
34090808122,Mediona,Alt Penedès,APE,Barcelona,1.611341144,41.476788767
34090808123,Molins de Rei,Baix Llobregat,BLL,Barcelona,2.015962183,41.413593959
34090808167,Polinyà,Vallès Occidental,VOC,Barcelona,2.156245284,41.55760939
34090808124,Mollet del Vallès,Vallès Oriental,VOR,Barcelona,2.210310853,41.535411838
34090808127,Monistrol de Montserrat,Bages,BAG,Barcelona,1.842759667,41.609790725
34090808131,Montesquiu,Osona,OSO,Barcelona,2.209866277,42.109893569
34091717230,Vila-sacra,Alt Empordà,AEM,Girona,3.018439284,42.265455233
34090808134,Figaró-Montmany,Vallès Oriental,VOR,Barcelona,2.273365617,41.721699343
34094343116,Prades,Baix Camp,BCA,Tarragona,0.988191149,41.309794099
34090808136,Montornès del Vallès,Vallès Oriental,VOR,Barcelona,2.267313544,41.54526095
34090808272,Sora,Osona,OSO,Barcelona,2.159795294,42.110492814
